Date,Price,Number,ROI,change
May 27 2015 01,4.361,1,0,0
May 28 2015 01,2.648,2,-0.39279981655583573,-1.7129999999999996
May 29 2015 01,3.246,3,0.22583081570996974,0.5979999999999999
May 30 2015 01,3.501,4,0.0785582255083179,0.2549999999999999
May 31 2015 01,3.706,5,0.058554698657526445,0.20500000000000007
Jun 01 2015 01,4.107,6,0.10820291419320029,0.40100000000000025
Jun 02 2015 01,4.184,7,0.018748478207937656,0.07699999999999996
Jun 03 2015 01,2.329,8,-0.44335564053537285,-1.855
Jun 04 2015 01,1.311,9,-0.4370974667239159,-1.0180000000000002
Jun 05 2015 01,1.406,10,0.07246376811594202,0.09499999999999997
Jun 06 2015 01,1.525,11,0.08463726884779517,0.119
Jun 07 2015 01,1.727,12,0.13245901639344274,0.20200000000000018
Jun 08 2015 01,1.835,13,0.06253618992472489,0.10799999999999987
Jun 09 2015 01,1.946,14,0.06049046321525885,0.11099999999999999
Jun 10 2015 01,1.606,15,-0.1747173689619732,-0.33999999999999986
Jun 11 2015 01,1.019,16,-0.36550435865504366,-0.5870000000000002
Jun 12 2015 01,0.942,17,-0.07556427870461233,-0.07699999999999996
Jun 13 2015 01,0.983,18,0.04352441613588114,0.041000000000000036
Jun 14 2015 01,1.048,19,0.06612410986775184,0.06500000000000006
Jun 15 2015 01,1.102,20,0.05152671755725195,0.05400000000000005
Jun 16 2015 01,1.161,21,0.0535390199637023,0.05899999999999994
Jun 17 2015 01,0.931,22,-0.19810508182601202,-0.22999999999999998
Jun 18 2015 01,0.701,23,-0.24704618689581104,-0.2300000000000001
Jun 19 2015 01,0.612,24,-0.12696148359486445,-0.08899999999999997
Jun 20 2015 01,0.53,25,-0.1339869281045751,-0.08199999999999996
Jun 21 2015 01,0.529,26,-0.0018867924528301902,-0.0010000000000000009
Jun 22 2015 01,0.551,27,0.04158790170132329,0.02200000000000002
Jun 23 2015 01,0.553,28,0.003629764065335756,0.0020000000000000018
Jun 24 2015 01,0.578,29,0.0452079566003615,0.02499999999999991
Jun 25 2015 01,0.58,30,0.0034602076124567505,0.0020000000000000018
Jun 26 2015 01,0.565,31,-0.025862068965517265,-0.015000000000000013
Jun 27 2015 01,0.554,32,-0.01946902654867239,-0.010999999999999899
Jun 28 2015 01,0.532,33,-0.0397111913357401,-0.02200000000000002
Jun 29 2015 01,0.536,34,0.0075187969924812095,0.0040000000000000036
Jun 30 2015 01,0.62,35,0.1567164179104477,0.08399999999999996
Jul 01 2015 01,0.686,36,0.1064516129032259,0.06600000000000006
Jul 02 2015 01,0.623,37,-0.09183673469387763,-0.06300000000000006
Jul 03 2015 01,0.577,38,-0.07383627608346716,-0.04600000000000004
Jul 04 2015 01,0.624,39,0.08145580589254774,0.04700000000000004
Jul 05 2015 01,0.626,40,0.003205128205128208,0.0020000000000000018
Jul 06 2015 01,0.599,41,-0.0431309904153355,-0.027000000000000024
Jul 07 2015 01,0.609,42,0.016694490818030067,0.010000000000000009
Jul 08 2015 01,0.623,43,0.022988505747126457,0.014000000000000012
Jul 09 2015 01,0.613,44,-0.016051364365971123,-0.010000000000000009
Jul 10 2015 01,0.596,45,-0.027732463295269193,-0.017000000000000015
Jul 11 2015 01,0.606,46,0.0167785234899329,0.010000000000000009
Jul 12 2015 01,0.577,47,-0.0478547854785479,-0.029000000000000026
Jul 13 2015 01,0.517,48,-0.10398613518197565,-0.05999999999999994
Jul 14 2015 01,0.516,49,-0.00193423597678917,-0.0010000000000000009
Jul 15 2015 01,0.526,50,0.019379844961240327,0.010000000000000009
Jul 16 2015 01,0.519,51,-0.013307984790874536,-0.007000000000000006
Jul 17 2015 01,0.506,52,-0.025048169556840097,-0.013000000000000012
Jul 18 2015 01,0.492,53,-0.027667984189723344,-0.014000000000000012
Jul 19 2015 01,0.454,54,-0.07723577235772354,-0.03799999999999998
Jul 20 2015 01,0.388,55,-0.14537444933920704,-0.066
Jul 21 2015 01,0.374,56,-0.036082474226804155,-0.014000000000000012
Jul 22 2015 01,0.368,57,-0.016042780748663117,-0.006000000000000005
Jul 23 2015 01,0.351,58,-0.04619565217391308,-0.017000000000000015
Jul 24 2015 01,0.413,59,0.17663817663817666,0.062
Jul 25 2015 01,0.44,60,0.06537530266343831,0.027000000000000024
Jul 26 2015 01,0.399,61,-0.09318181818181814,-0.04099999999999998
Jul 27 2015 01,0.358,62,-0.10275689223057653,-0.041000000000000036
Jul 28 2015 01,0.348,63,-0.027932960893854775,-0.010000000000000009
Jul 29 2015 01,0.339,64,-0.025862068965517106,-0.008999999999999952
Jul 30 2015 01,0.348,65,0.02654867256637154,0.008999999999999952
Jul 31 2015 01,0.395,66,0.13505747126436796,0.04700000000000004
Aug 01 2015 01,0.405,67,0.025316455696202552,0.010000000000000009
Aug 02 2015 01,0.347,68,-0.14320987654321,-0.05800000000000005
Aug 03 2015 01,0.321,69,-0.07492795389048983,-0.025999999999999968
Aug 04 2015 01,0.308,70,-0.04049844236760128,-0.013000000000000012
Aug 05 2015 01,0.311,71,0.009740259740259749,0.0030000000000000027
Aug 06 2015 01,0.303,72,-0.025723472668810313,-0.008000000000000007
Aug 07 2015 01,0.309,73,0.01980198019801982,0.006000000000000005
Aug 08 2015 01,0.302,74,-0.022653721682847915,-0.007000000000000006
Aug 09 2015 01,0.277,75,-0.08278145695364228,-0.024999999999999967
Aug 10 2015 01,0.245,76,-0.1155234657039712,-0.03200000000000003
Aug 11 2015 01,0.224,77,-0.08571428571428567,-0.02099999999999999
Aug 12 2015 01,0.218,78,-0.02678571428571431,-0.006000000000000005
Aug 13 2015 01,0.222,79,0.018348623853211024,0.0040000000000000036
Aug 14 2015 01,0.24,80,0.08108108108108103,0.017999999999999988
Aug 15 2015 01,0.211,81,-0.12083333333333333,-0.028999999999999998
Aug 16 2015 01,0.161,82,-0.2369668246445497,-0.04999999999999999
Aug 17 2015 01,0.141,83,-0.12422360248447216,-0.020000000000000018
Aug 18 2015 01,0.136,84,-0.035460992907801255,-0.004999999999999977
Aug 19 2015 01,0.136,85,0.0,0.0
Aug 20 2015 01,0.145,86,0.06617647058823514,0.00899999999999998
Aug 21 2015 01,0.143,87,-0.013793103448275876,-0.0020000000000000018
Aug 22 2015 01,0.143,88,0.0,0.0
Aug 23 2015 01,0.116,89,-0.1888111888111887,-0.026999999999999982
Aug 24 2015 01,0.103,90,-0.11206896551724148,-0.013000000000000012
Aug 25 2015 01,0.137,91,0.33009708737864096,0.034000000000000016
Aug 26 2015 01,0.151,92,0.10218978102189769,0.013999999999999985
Aug 27 2015 01,0.153,93,0.013245033112582794,0.0020000000000000018
Aug 28 2015 01,0.169,94,0.10457516339869291,0.016000000000000014
Aug 29 2015 01,0.199,95,0.17751479289940827,0.03
Aug 30 2015 01,0.169,96,-0.1507537688442211,-0.03
Aug 31 2015 01,0.156,97,-0.07692307692307698,-0.013000000000000012
Sep 01 2015 01,0.17,98,0.08974358974358983,0.014000000000000012
Sep 02 2015 01,0.174,99,0.02352941176470574,0.003999999999999976
Sep 03 2015 01,0.162,100,-0.06896551724137921,-0.011999999999999983
Sep 04 2015 01,0.159,101,-0.018518518518518535,-0.0030000000000000027
Sep 05 2015 01,0.146,102,-0.08176100628930824,-0.013000000000000012
Sep 06 2015 01,0.126,103,-0.13698630136986295,-0.01999999999999999
Sep 07 2015 01,0.133,104,0.0555555555555556,0.007000000000000006
Sep 08 2015 01,0.136,105,0.02255639097744363,0.0030000000000000027
Sep 09 2015 01,0.126,106,-0.07352941176470594,-0.010000000000000009
Sep 10 2015 01,0.117,107,-0.07142857142857138,-0.008999999999999994
Sep 11 2015 01,0.108,108,-0.07692307692307698,-0.009000000000000008
Sep 12 2015 01,0.103,109,-0.046296296296296335,-0.0050000000000000044
Sep 13 2015 01,0.094,110,-0.08737864077669898,-0.008999999999999994
Sep 14 2015 01,0.099,111,0.05319148936170218,0.0050000000000000044
Sep 15 2015 01,0.102,112,0.03030303030303019,0.002999999999999989
Sep 16 2015 01,0.093,113,-0.08823529411764701,-0.008999999999999994
Sep 17 2015 01,0.084,114,-0.09677419354838704,-0.008999999999999994
Sep 18 2015 01,0.072,115,-0.142857142857143,-0.01200000000000001
Sep 19 2015 01,0.062,116,-0.13888888888888884,-0.009999999999999995
Sep 20 2015 01,0.059,117,-0.04838709677419359,-0.0030000000000000027
Sep 21 2015 01,0.061,118,0.0338983050847458,0.0020000000000000018
Sep 22 2015 01,0.063,119,0.03278688524590167,0.0020000000000000018
Sep 23 2015 01,0.058,120,-0.07936507936507932,-0.0049999999999999975
Sep 24 2015 01,0.057,121,-0.01724137931034484,-0.0010000000000000009
Sep 25 2015 01,0.059,122,0.03508771929824552,0.001999999999999995
Sep 26 2015 01,0.056,123,-0.05084745762711857,-0.0029999999999999957
